id;house_number;street;post_code;city;district;geojson_geometry;post_station_id
2;26;Rabenstraße;78120;Furtwangen im Schwarzwald;3;{'type': 'Point', 'coordinates': [8.2000243, 48.0493761]};1
5;5;Bühlhofstraße;78120;Furtwangen im Schwarzwald;3;{'type': 'Point', 'coordinates': [8.2014152, 48.0497379]};1
31;15;Kohlheppstraße;78120;Furtwangen im Schwarzwald;3;{'type': 'Point', 'coordinates': [8.1918202, 48.0484353]};1
32;17;Stephan-Blattmann-Straße;78120;Furtwangen im Schwarzwald;3;{'type': 'Point', 'coordinates': [8.1887875, 48.0489875]};1
33;31;Stephan-Blattmann-Straße;78120;Furtwangen im Schwarzwald;3;{'type': 'Point', 'coordinates': [8.1863271, 48.0497503]};1
34;32;Stephan-Blattmann-Straße;78120;Furtwangen im Schwarzwald;3;{'type': 'Point', 'coordinates': [8.1863752, 48.0500528]};1
35;33;Stephan-Blattmann-Straße;78120;Furtwangen im Schwarzwald;3;{'type': 'Point', 'coordinates': [8.1861675, 48.0497351]};1
36;1;Bregstraße;78120;Furtwangen im Schwarzwald;3;{'type': 'Point', 'coordinates': [8.2029672, 48.0491166]};1
77;38;Bismarckstraße;78120;Furtwangen im Schwarzwald;3;{'type': 'Point', 'coordinates': [8.2031796, 48.0542758]};1
79;58;Bismarckstraße;78120;Furtwangen im Schwarzwald;3;{'type': 'Point', 'coordinates': [8.2030441, 48.0560891]};1
81;60;Bismarckstraße;78120;Furtwangen im Schwarzwald;3;{'type': 'Point', 'coordinates': [8.2030636, 48.0561779]};1
85;17;Carl-Diem-Straße;78120;Furtwangen im Schwarzwald;3;{'type': 'Point', 'coordinates': [8.194695, 48.0444826]};1
86;19;Carl-Diem-Straße;78120;Furtwangen im Schwarzwald;3;{'type': 'Point', 'coordinates': [8.194929, 48.0443742]};1
87;10;Neue Heimat;78120;Furtwangen im Schwarzwald;3;{'type': 'Point', 'coordinates': [8.1949519, 48.0456298]};1
88;11;Neue Heimat;78120;Furtwangen im Schwarzwald;3;{'type': 'Point', 'coordinates': [8.192423, 48.0455496]};1
89;12;Neue Heimat;78120;Furtwangen im Schwarzwald;3;{'type': 'Point', 'coordinates': [8.1950657, 48.045655]};1
90;13;Neue Heimat;78120;Furtwangen im Schwarzwald;3;{'type': 'Point', 'coordinates': [8.1925683, 48.0455396]};1
91;15;Neue Heimat;78120;Furtwangen im Schwarzwald;3;{'type': 'Point', 'coordinates': [8.1928395, 48.0455385]};1
92;17;Neue Heimat;78120;Furtwangen im Schwarzwald;3;{'type': 'Point', 'coordinates': [8.1929619, 48.0455391]};1
93;19;Neue Heimat;78120;Furtwangen im Schwarzwald;3;{'type': 'Point', 'coordinates': [8.193171, 48.0455398]};1
94;2;Neue Heimat;78120;Furtwangen im Schwarzwald;3;{'type': 'Point', 'coordinates': [8.1940929, 48.045465]};1
95;21;Neue Heimat;78120;Furtwangen im Schwarzwald;3;{'type': 'Point', 'coordinates': [8.1932953, 48.0455405]};1
96;23;Neue Heimat;78120;Furtwangen im Schwarzwald;3;{'type': 'Point', 'coordinates': [8.1935365, 48.0455728]};1
97;25;Neue Heimat;78120;Furtwangen im Schwarzwald;3;{'type': 'Point', 'coordinates': [8.1936451, 48.0455928]};1
98;27;Neue Heimat;78120;Furtwangen im Schwarzwald;3;{'type': 'Point', 'coordinates': [8.1938856, 48.0456298]};1
99;29;Neue Heimat;78120;Furtwangen im Schwarzwald;3;{'type': 'Point', 'coordinates': [8.1940258, 48.0456576]};1
100;31;Neue Heimat;78120;Furtwangen im Schwarzwald;3;{'type': 'Point', 'coordinates': [8.1942822, 48.0457029]};1
