id;house_number;street;post_code;city;district;geojson_geometry;post_station_id
49;10;Friedrichstraße;78120;Furtwangen im Schwarzwald;5;{'type': 'Point', 'coordinates': [8.2044433, 48.0553904]};1
164;1;Ahornweg;78120;Furtwangen im Schwarzwald;5;{'type': 'Point', 'coordinates': [8.1908798, 48.0540392]};1
173;28;Bregstraße;78120;Furtwangen im Schwarzwald;5;{'type': 'Point', 'coordinates': [8.1989031, 48.048036]};1
207;13;Josef-Zähringer-Straße;78120;Furtwangen im Schwarzwald;5;{'type': 'Point', 'coordinates': [8.2289843, 48.0463843]};1
251;24;Sonnhalde;78120;Furtwangen im Schwarzwald;5;{'type': 'Point', 'coordinates': [8.2097105, 48.052631]};1
357;7/1;Josef-Zähringer-Straße;78120;Furtwangen im Schwarzwald;5;{'type': 'Point', 'coordinates': [8.2280624, 48.0467851]};1
368;57a;Allmendstraße;78120;Furtwangen im Schwarzwald;5;{'type': 'Point', 'coordinates': [8.2126504, 48.0503936]};1
428;6;Colne Straße;78120;Furtwangen im Schwarzwald;5;{'type': 'LineString', 'coordinates': [[8.1958582, 48.0549035], [8.1960746, 48.0545588], [8.1958221, 48.0544886], [8.1958635, 48.0544182], [8.1956723, 48.0543619], [8.1955917, 48.0545039], [8.1954711, 48.0545424], [8.1952708, 48.054485], [8.1951716, 48.054642], [8.1950533, 48.0546096], [8.1951829, 48.0544034], [8.1950615, 48.0543715], [8.1951068, 48.0543066], [8.1952183, 48.054338], [8.1952654, 48.0542683], [8.195126, 48.0542295], [8.1950936, 48.0542204], [8.1949911, 48.0541918], [8.194777, 48.0545339], [8.1948791, 48.0545592], [8.1948313, 48.0546341], [8.1950932, 48.0547097], [8.1951029, 48.0546943], [8.1952169, 48.0547267], [8.1952294, 48.0547239], [8.195329, 48.0547508], [8.195289, 48.0548147], [8.1951874, 48.0547877], [8.1951029, 48.0549216], [8.1951995, 48.0549498], [8.1953964, 48.0550073], [8.1954188, 48.0550139], [8.1955485, 48.0548126], [8.1958582, 48.0549035]]};1
453;25;Kohlheppstraße;78120;Furtwangen im Schwarzwald;5;{'type': 'LineString', 'coordinates': [[8.1929594, 48.0479566], [8.1930156, 48.0478437], [8.1928032, 48.0477963], [8.1927469, 48.0479092], [8.1929594, 48.0479566]]};1
454;31;Kussenhofstraße;78120;Furtwangen im Schwarzwald;5;{'type': 'LineString', 'coordinates': [[8.186798, 48.0484689], [8.1867985, 48.0485587], [8.1867987, 48.0485832], [8.1870849, 48.0485824], [8.1870842, 48.0484681], [8.186798, 48.0484689]]};1
466;3;Stephan-Blattmann-Straße;78120;Furtwangen im Schwarzwald;5;{'type': 'LineString', 'coordinates': [[8.1909528, 48.0474963], [8.1911404, 48.0474336], [8.1910609, 48.0473272], [8.1908732, 48.0473899], [8.1909528, 48.0474963]]};1
484;3;Neue Heimat;78120;Furtwangen im Schwarzwald;5;{'type': 'LineString', 'coordinates': [[8.1915804, 48.0457114], [8.1918528, 48.045675], [8.1918199, 48.0455653], [8.1915475, 48.0456017], [8.1915804, 48.0457114]]};1
488;7;Berliner Straße;78120;Furtwangen im Schwarzwald;5;{'type': 'LineString', 'coordinates': [[8.1906451, 48.0473357], [8.1908177, 48.0472956], [8.1907689, 48.0472019], [8.1905963, 48.047242], [8.1906451, 48.0473357]]};1
503;25;Josef-Dorer-Straße;78120;Furtwangen im Schwarzwald;5;{'type': 'LineString', 'coordinates': [[8.1835006, 48.04861], [8.1835133, 48.0484957], [8.1833106, 48.0484857], [8.183298, 48.0486], [8.1835006, 48.04861]]};1
510;20;Kussenhofstraße;78120;Furtwangen im Schwarzwald;5;{'type': 'LineString', 'coordinates': [[8.1888477, 48.0482839], [8.1891441, 48.0481836], [8.1890706, 48.0480865], [8.1887742, 48.0481869], [8.1888477, 48.0482839]]};1
565;3;Berliner Straße;78120;Furtwangen im Schwarzwald;5;{'type': 'LineString', 'coordinates': [[8.190218, 48.0474587], [8.190167, 48.0473827], [8.1900276, 48.0474244], [8.1900361, 48.0474372], [8.189989, 48.0474513], [8.1900027, 48.0474718], [8.1899931, 48.0474747], [8.1900217, 48.0475174], [8.190218, 48.0474587]]};1
616;29;Katzensteigstraße;78120;Furtwangen im Schwarzwald;5;{'type': 'LineString', 'coordinates': [[8.1931029, 48.0646782], [8.1931865, 48.0645498], [8.1929943, 48.064494], [8.1929108, 48.0646224], [8.1931029, 48.0646782]]};1
719;14;Am Hofrain;78120;Furtwangen im Schwarzwald;5;{'type': 'LineString', 'coordinates': [[8.2216688, 48.0486178], [8.2218758, 48.0485403], [8.2218404, 48.0484981], [8.2216334, 48.0485755], [8.2216688, 48.0486178]]};1
735;26;Erwin-Wehrle-Straße;78120;Furtwangen im Schwarzwald;5;{'type': 'LineString', 'coordinates': [[8.219516, 48.0485935], [8.2197354, 48.0485327], [8.2196719, 48.0484305], [8.2194525, 48.0484913], [8.219516, 48.0485935]]};1
750;6;Vogt-Dufner-Straße;78120;Furtwangen im Schwarzwald;5;{'type': 'LineString', 'coordinates': [[8.2176321, 48.0503421], [8.2176409, 48.0501484], [8.2175093, 48.0501457], [8.2175005, 48.0503394], [8.2176321, 48.0503421]]};1
755;7/1;Alemannenstraße;78120;Furtwangen im Schwarzwald;5;{'type': 'LineString', 'coordinates': [[8.2180185, 48.0490136], [8.2182116, 48.0489236], [8.2181414, 48.0488562], [8.2179482, 48.0489462], [8.2180185, 48.0490136]]};1
767;5;Am Hofrain;78120;Furtwangen im Schwarzwald;5;{'type': 'LineString', 'coordinates': [[8.2204805, 48.0492023], [8.2205188, 48.0492719], [8.2206761, 48.0492332], [8.2206378, 48.0491636], [8.2204805, 48.0492023]]};1
820;15;Oberer Wannenweg;78120;Furtwangen im Schwarzwald;5;{'type': 'LineString', 'coordinates': [[8.2155618, 48.0528816], [8.2157169, 48.0528717], [8.2156972, 48.0527338], [8.2155421, 48.0527438], [8.2155618, 48.0528816]]};1
822;8;Viertelhofweg;78120;Furtwangen im Schwarzwald;5;{'type': 'LineString', 'coordinates': [[8.2146724, 48.0507284], [8.2148226, 48.0507516], [8.21485, 48.0506722], [8.2146998, 48.050649], [8.2146724, 48.0507284]]};1
870;3;Viertelhofweg;78120;Furtwangen im Schwarzwald;5;{'type': 'LineString', 'coordinates': [[8.214052, 48.0509336], [8.2142302, 48.0509689], [8.2142685, 48.0508824], [8.2140903, 48.0508471], [8.214052, 48.0509336]]};1
874;22;Am Bodenwald;78120;Furtwangen im Schwarzwald;5;{'type': 'LineString', 'coordinates': [[8.2135487, 48.0515767], [8.213712, 48.0516197], [8.2137581, 48.0515415], [8.2135948, 48.0514985], [8.2135487, 48.0515767]]};1
880;5;Viertelhofweg;78120;Furtwangen im Schwarzwald;5;{'type': 'LineString', 'coordinates': [[8.2143671, 48.0509722], [8.2145454, 48.0510318], [8.2146031, 48.0509546], [8.2144249, 48.050895], [8.2143671, 48.0509722]]};1
917;26;Friedrichstraße;78120;Furtwangen im Schwarzwald;5;{'type': 'LineString', 'coordinates': [[8.203697, 48.0567552], [8.203886, 48.0567864], [8.2039252, 48.0566803], [8.2037362, 48.0566491], [8.203697, 48.0567552]]};1
1006;10;Grieshaberstraße;78120;Furtwangen im Schwarzwald;5;{'type': 'LineString', 'coordinates': [[8.2058767, 48.0530832], [8.2061575, 48.0531505], [8.2061987, 48.0531604], [8.2062536, 48.0530581], [8.2061443, 48.0530319], [8.2061585, 48.0530055], [8.2060555, 48.0529808], [8.2060414, 48.0530072], [8.2059316, 48.0529809], [8.2058767, 48.0530832]]};1
1020;6;Kronenstraße;78120;Furtwangen im Schwarzwald;5;{'type': 'LineString', 'coordinates': [[8.2051101, 48.0496314], [8.2052034, 48.0495441], [8.2050992, 48.0494943], [8.2050059, 48.0495817], [8.2051101, 48.0496314]]};1
1022;5;Lindenstraße;78120;Furtwangen im Schwarzwald;5;{'type': 'LineString', 'coordinates': [[8.20646, 48.0506842], [8.2066794, 48.050717], [8.206728, 48.0506797], [8.2068092, 48.0504932], [8.2065778, 48.0504412], [8.2065114, 48.0504843], [8.2065014, 48.0505349], [8.2065443, 48.0505582], [8.2065289, 48.0505887], [8.2064874, 48.0506023], [8.20646, 48.0506842]]};1
1061;5b;Friedhofweg;78120;Furtwangen im Schwarzwald;5;{'type': 'LineString', 'coordinates': [[8.2011053, 48.0529977], [8.201242, 48.0529509], [8.2011478, 48.052828], [8.2010892, 48.0528481], [8.2010475, 48.0527938], [8.2009695, 48.0528205], [8.2011053, 48.0529977]]};1
1131;11;Buchenweg;78120;Furtwangen im Schwarzwald;5;{'type': 'LineString', 'coordinates': [[8.1897542, 48.0552448], [8.1897624, 48.0553325], [8.1899181, 48.055326], [8.1899099, 48.0552383], [8.1897542, 48.0552448]]};1
1174;11;Geschwister-Scholl-Weg;78120;Furtwangen im Schwarzwald;5;{'type': 'LineString', 'coordinates': [[8.194336, 48.0503532], [8.1944442, 48.0502749], [8.1943948, 48.0502444], [8.1943408, 48.0502111], [8.1943347, 48.0502155], [8.1942906, 48.0502474], [8.1942976, 48.0502517], [8.1942782, 48.0502658], [8.1942376, 48.0502407], [8.194199, 48.0502686], [8.194336, 48.0503532]]};1
1183;42;Ilbenstraße;78120;Furtwangen im Schwarzwald;5;{'type': 'LineString', 'coordinates': [[8.1935797, 48.0514458], [8.1936111, 48.0514487], [8.1937012, 48.051457], [8.1937337, 48.05146], [8.1937615, 48.0513246], [8.1936076, 48.0513104], [8.1935797, 48.0514458]]};1
1199;14;Martin-Blessing-Straße;78120;Furtwangen im Schwarzwald;5;{'type': 'LineString', 'coordinates': [[8.1927162, 48.0517114], [8.1928253, 48.0517297], [8.1928021, 48.0517913], [8.1928572, 48.0518005], [8.1929217, 48.0516289], [8.1928767, 48.0516214], [8.1928634, 48.0516569], [8.1927443, 48.0516369], [8.1927162, 48.0517114]]};1
1234;2;Eichendorffstraße;78120;Furtwangen im Schwarzwald;5;{'type': 'LineString', 'coordinates': [[8.1965821, 48.0491148], [8.1967359, 48.0490889], [8.1966853, 48.0489548], [8.1965315, 48.0489808], [8.1965821, 48.0491148]]};1
1236;40a;Bregstraße;78120;Furtwangen im Schwarzwald;5;{'type': 'LineString', 'coordinates': [[8.1972267, 48.0466504], [8.1973207, 48.0466164], [8.1973749, 48.0465968], [8.1974199, 48.0465806], [8.1974642, 48.0465646], [8.1973929, 48.0464764], [8.1973555, 48.04649], [8.1973072, 48.0465074], [8.1972531, 48.046527], [8.1971554, 48.0465623], [8.1972267, 48.0466504]]};1
1303;20;Eigenheimweg;78120;Furtwangen im Schwarzwald;5;{'type': 'LineString', 'coordinates': [[8.2011057, 48.0509737], [8.2011664, 48.0509381], [8.201251, 48.0510024], [8.2011903, 48.0510381], [8.2011057, 48.0509737]]};1
1370;43;Neue Heimat;78120;Furtwangen im Schwarzwald;5;{'type': 'LineString', 'coordinates': [[8.1953521, 48.0460489], [8.1954029, 48.0459969], [8.1954501, 48.0460175], [8.195461, 48.0460063], [8.1955661, 48.0460495], [8.1955043, 48.046113], [8.1953521, 48.0460489]]};1
1395;5;Am Niegenhirschwald;78120;Furtwangen im Schwarzwald;5;{'type': 'LineString', 'coordinates': [[8.2185542, 48.0466089], [8.2187931, 48.046967], [8.2193631, 48.0468408], [8.2192791, 48.046637], [8.2185542, 48.0466089]]};1
1462;42;Hans-Thoma-Straße;78120;Furtwangen im Schwarzwald;5;{'type': 'LineString', 'coordinates': [[8.1995717, 48.0516194], [8.1995048, 48.0516587], [8.1995887, 48.0517225], [8.1996556, 48.0516832], [8.1995717, 48.0516194]]};1
1490;24;Am Straßberg;78120;Furtwangen im Schwarzwald;5;{'type': 'LineString', 'coordinates': [[8.1994408, 48.0497881], [8.1995104, 48.0497626], [8.199588, 48.0498576], [8.199517, 48.0498831], [8.1994408, 48.0497881]]};1
